code,organization,grade,date,title,type
300700,中银国际,增持,2018-6-27,建筑建材行业周报：陕西水泥全部停窑，水泥区域分化逐步显现,行业研报
300700,长江证券,持有,2018-6-27,建材行业周报：华东水泥股表现能否继续强于市场,行业研报
300700,安信证券,中性,2018-6-27,建材行业周报：水泥价稳库升，玻璃短期复产压力加大,行业研报
300700,川财证券,Null,2018-6-26,建筑建材行业日报：安徽芜湖共17条水泥熟料生产线全面停产,行业研报
300700,光大证券,买入,2018-6-25,建材周报第21期（2018年）,行业研报
300700,信达证券,Null,2018-6-25,化工新材料行业,行业研报
300700,申万宏源,Null,2018-6-21,"建材行业2018年下半年投资策略：把握""微笑曲线""上的预期差",行业研报
300700,东莞证券,持有,2018-6-21,新材料行业2018年下半年投资策略：优选高景气和发展前景子行业,行业研报
300700,川财证券,Null,2018-6-20,建筑建材行业日报：工信部鼓励推广水泥行业六项产品/技术,行业研报
300700,天风证券,增持,2018-6-19,建筑材料行业研究周报：继续强调布局中报行情，关注北新建材拟通过并购提升市占率,行业研报
300700,光大证券,买入,2018-6-19,建材周报第20期,行业研报
300700,华融证券,中性,2018-6-19,建材行业：水泥市场周报:关注天气对后续需求的影响,行业研报
300700,长江证券,持有,2018-6-14,建材行业：从汽车涂料看坤彩科技的全球竞争力,行业研报
300700,光大证券,买入,2018-6-14,污染防治攻坚战系列报告建材篇：政策趋严趋细，建材行业环保成本持续抬升,行业研报
300700,国信证券,增持,2018-6-13,非金属建材周报：玻璃价格微涨，库存下行,行业研报
300700,中银国际,增持,2018-6-12,建筑建材行业周报：资金面预期改善，建材板块有所回暖,行业研报
300700,川财证券,Null,2018-6-12,建筑建材行业日报：泛东北水泥企业联名提出《告别冬季期货倡议书》,行业研报
300700,长江证券,持有,2018-6-11,建材行业周报：三个维度看建材标的经营质量,行业研报
300700,东兴证券,持有,2018-6-11,建材建筑行业周报：淡季行业景气超以往，后续淡季现走弱,行业研报
300700,华融证券,中性,2018-6-5,建材行业：水泥市场周报-需求平稳，价格分化,行业研报
300700,长江证券,持有,2018-5-28,建材行业周报：资产结构良好+现金流表现优异的建材板块,行业研报
300700,国海证券,持有,2018-5-25,复合材料行业专题系列一：碳纤维：制造产业升级，碳纤维行业迎来高速发展机遇,行业研报
